model,rmse,mae,bias,mape_pct,r2,pearson_r,n,y_true_mean,y_pred_mean,category_accuracy_pct
persistence,22.01603535910914,11.823831795937917,0.010739175139952017,20.202305344957487,0.9450014480733545,0.9724994280373518,8753,97.89649236783782,97.90723154297777,79.98400548383411
ar24,21.669370096916893,11.901487455042679,0.028972517095074632,23.836885415396132,0.9467198301049826,0.9730372336807562,8753,97.89649236783782,97.9254648849329,77.97326630869416
lstm_baseline,24.526471207624787,14.845729534970813,-8.051725512202141,24.005450893661987,0.9317436340223453,0.9726667526014402,8753,97.89649236783782,89.84476685563568,76.4423626185308
lstm_issa,28.777595871396702,19.087326157771287,-14.906374470398765,32.30410074889492,0.9060315537997894,0.9703166889937391,8753,97.89649236783782,82.99011789743905,66.5714612132983
