ar_coefficient_lag1..lagP_then_bias
1.170672035981290993e+00
-2.551638936997734364e-01
2.325907764656482551e-02
3.819302947850663349e-02
-1.935502622810033463e-02
-1.519278689179552090e-02
1.022395035561177515e-02
-1.273950209988251522e-02
6.033038522169439748e-03
-1.299652402692665337e-03
1.005835539259157703e-02
-6.596574881728305834e-03
9.111755403902861705e-03
-7.721589512094102423e-03
-7.721449262355164524e-03
8.167987719257002732e-03
2.753486367141181907e-03
1.754059944576330651e-03
9.240565386493515207e-03
1.962544477082254005e-03
1.452731761467769209e-02
-1.916001727944031605e-02
2.145455627304980462e-02
-1.890703642523450939e-02
3.609620194477143607e-03
