category,n,rmse,mae,bias,mape_pct,r2,pearson_r,category_n,y_true_mean,y_pred_mean
Unhealthy,3367,18.662080577899115,11.896513893018676,-0.0971340973086197,13.016999118998676,0.5038229929455257,0.7966429685501597,3367,95.9584196083334,95.86128551102478
Moderate,1690,13.449060593552261,7.307102327868783,4.578885959520848,34.649961186473845,-3.0878292517404606,0.44211790702031656,1690,22.354437750754272,26.93332371027512
Very Unhealthy,1083,30.248602611394173,18.121469659708435,-5.812312165786024,9.631204381131116,-0.14651479689803892,0.6715716531264497,1083,190.44875322308457,184.63644105729855
Unhealthy for Sensitive Groups,1045,19.017026721216865,9.528320912995406,3.909422526747416,21.11451588573215,-9.920535216836338,0.280340082890866,1045,45.56746411483254,49.47688664157995
Good,886,8.15288228786084,5.670266905130974,5.350529546426865,77.64199073016003,-9.92712344282766,0.3075007491992739,886,8.781038313094973,14.131567859521837
Hazardous,682,42.016956462215596,25.165177431973543,-14.206527810642097,7.2896193106687965,0.6815377188210876,0.8657420202293981,682,343.64076156839945,329.4342337577574
