ar_coefficient_lag1..lagP_then_bias
1.170652738634312851e+00
-2.552020298538205112e-01
2.331376495266476723e-02
3.825828901017789413e-02
-1.941814792357232644e-02
-1.517752180544756566e-02
1.019957483392016327e-02
-1.279825588582297197e-02
6.106290592491333234e-03
-1.342218662215368102e-03
1.008366411277350667e-02
-6.569155279289611536e-03
9.089555807709667409e-03
-7.769890510030682401e-03
-7.726532803495739926e-03
8.217771129463485522e-03
2.813914240100013914e-03
1.707126447229638088e-03
9.188820387260713402e-03
1.999904154035360686e-03
1.461320149425588376e-02
-1.926564489264594865e-02
2.153447751390234408e-02
-1.894037502570579401e-02
3.609928626229128110e-03
