tag,epoch,train_mse_scaled,val_mse_scaled,wall_time_s
lstm_issa,1,0.002256644368537706,0.0007654360538667374,1.1343541145324707
lstm_issa,2,0.0007171985135409422,0.0007231339093281845,2.267077922821045
lstm_issa,3,0.0007199311796215496,0.0007614257929658792,3.400831699371338
lstm_issa,4,0.0007531770380719628,0.0008232167527735741,4.53504204750061
lstm_issa,5,0.0006966024237363176,0.0006613785440342987,5.736202955245972
lstm_issa,6,0.000702773421091691,0.0008260930254519653,6.8714752197265625
lstm_issa,7,0.0006974543793638141,0.0007883705479219894,8.00389289855957
lstm_issa,8,0.000674163223743447,0.0007541679653513711,9.139436721801758
lstm_issa,9,0.0006860550937758697,0.0007513648835976545,10.27364730834961
lstm_issa,10,0.0006542197207054784,0.0007161772638606966,11.408753633499146
