category,n,rmse,mae,bias,mape_pct,r2,pearson_r,category_n,y_true_mean,y_pred_mean
Unhealthy,3367,18.66218773593113,11.896491910004283,-0.09573808458462503,13.017038207366255,0.5038172948129906,0.7966405896646093,3367,95.9584196083334,95.86268152374878
Moderate,1690,13.450263554734713,7.308307087633032,4.580826329620632,34.656545687251686,-3.0885605622733916,0.4420829115188434,1690,22.354437750754272,26.935264080374903
Very Unhealthy,1083,30.248309767148438,18.121240027613478,-5.810508440956404,9.631095176732286,-0.14649259761564593,0.6715718384638782,1083,190.44875322308457,184.63824478212817
Unhealthy for Sensitive Groups,1045,19.01762878285782,9.528804578279194,3.910926154469759,21.11566863195764,-9.921226696059223,0.2803249945394005,1045,45.56746411483254,49.478390269302295
Good,886,8.154934719982487,5.672419718624372,5.352763392603021,77.66795115156991,-9.93262579188741,0.30748465021171045,886,8.781038313094973,14.133801705697993
Hazardous,682,42.015844386623925,25.16390773627765,-14.20338562436817,7.289259842841571,0.6815545762744986,0.8657427101670607,682,343.64076156839945,329.4373759440313
