tag,epoch,train_mse_scaled,val_mse_scaled,wall_time_s
lstm_issa,1,0.002256644368537706,0.0007654360538667374,1.1311633586883545
lstm_issa,2,0.0007171985135409422,0.0007231339093281845,2.2621495723724365
lstm_issa,3,0.0007199311796215496,0.0007614257929658792,3.7990317344665527
lstm_issa,4,0.0007531770380719628,0.0008232167527735741,4.929372549057007
lstm_issa,5,0.0006966024237363176,0.0006613785440342987,6.0600905418396
lstm_issa,6,0.000702773421091691,0.0008260930254519653,7.1794750690460205
lstm_issa,7,0.0006974543793638141,0.0007883705479219894,8.298407793045044
lstm_issa,8,0.000674163223743447,0.0007541679653513711,9.41789436340332
lstm_issa,9,0.0006860550937758697,0.0007513648835976545,10.536881923675537
lstm_issa,10,0.0006542197207054784,0.0007161772638606966,11.655508995056152
